,Unnamed: 0,company,salary,lower_bound_salary,upper_bound_salary,base_pay,bonus_pay,cash_bonus,stock_bonus,Position_clean,Country
76,76,Loblaw Companies,58240.0,56160.0,62400.0,,,,,Data Scientist Intern,CA
77,77,Loblaw Companies,80000.0,76000.0,84000.0,,,,,Data Scientist,CA
78,78,BlackBerry,84500.0,81000.0,88000.0,23.0,23.0,,,Data Scientist,CA
79,79,BlackBerry,47840.0,47840.0,49920.0,,,,,Data Scientist Intern,CA
80,80,University of Waterloo,70000.0,67000.0,73000.0,70500.0,70500.0,,,Data Scientist,CA
81,81,CGI,50000.0,48000.0,52000.0,,,,,Data Scientist Intern,CA
82,82,Canadian Tire,84500.0,81000.0,88000.0,85000.0,85000.0,,,Data Scientist,CA
83,83,McMaster University,65500.0,63000.0,68000.0,,,,,Data Scientist,CA
84,84,Manulife,109500.0,105000.0,114000.0,,,,,Data Scientist,CA
85,85,BC Hydro,83200.0,81120.0,87360.0,,,,,Data Scientist,CA
86,86,Accenture,67000.0,64000.0,70000.0,67500.0,67500.0,,,Data Scientist,CA
87,87,McGill University,45000.0,43000.0,47000.0,45000.0,45000.0,,,Data Scientist,CA
88,88,SAP,52000.0,49920.0,54080.0,52000.0,52000.0,,,Data Scientist,CA
89,89,SAP,52000.0,49920.0,54080.0,,,,,Data Scientist Intern,CA
90,90,Ryerson University,51500.0,50000.0,53000.0,51000.0,51000.0,,,Data Scientist,CA
91,91,University of Calgary,82000.0,78000.0,86000.0,82000.0,82000.0,,,Data Scientist,CA
92,92,Sun Life,102000.0,98000.0,106000.0,102000.0,102000.0,,,Data Scientist,CA
93,93,Government of Canada,69500.0,67000.0,72000.0,69500.0,69500.0,,,Data Scientist,CA
94,94,Banque Nationale du Canada/National Bank of Canada,76500.0,74000.0,79000.0,74945.0,5045.0,5045.0,1536.0,Data Scientist,CA
95,95,Banque Nationale du Canada/National Bank of Canada,60000.0,58000.0,62000.0,,,,,Data Scientist Intern,CA
96,96,Ubisoft,30500.0,29000.0,32000.0,,,,,Data Scientist Intern,CA
98,98,Shopify,95500.0,92000.0,99000.0,,,,,Data Scientist Intern,CA
99,99,Shopify,78000.0,74000.0,82000.0,,,,,Data Scientist Intern,CA
100,100,Shopify,72000.0,6000.0,6000.0,,,,,Data Scientist Intern,CA
101,101,Microsoft,101000.0,97000.0,105000.0,101000.0,101000.0,,,Data Scientist,CA
102,102,ATB Financial,122720.0,118560.0,128960.0,124800.0,124800.0,,,Data Scientist,CA
103,103,GoodLife Fitness,63500.0,61000.0,66000.0,62500.0,62500.0,4000.0,,Data Scientist,CA
104,104,MNP LLP,100500.0,97000.0,104000.0,100500.0,100500.0,,,Data Scientist,CA
105,105,Concordia University,22000.0,21000.0,23000.0,22000.0,22000.0,,,Data Scientist,CA
106,106,Cisco Systems,84500.0,81000.0,88000.0,42.0,42.0,,,Data Scientist,CA
107,107,Cisco Systems,87360.0,83200.0,91520.0,,,,,Data Scientist Intern,CA
108,108,Morgan Stanley,60500.0,58000.0,63000.0,147000.0,147000.0,,,Data Scientist,CA
109,109,LoyaltyOne,50000.0,48000.0,52000.0,,,,,Data Scientist Intern,CA
110,110,LoyaltyOne,66560.0,64480.0,68640.0,,,,,Data Scientist Intern,CA
111,111,Pratt & Whitney Canada,30000.0,2000.0,3000.0,,,,,Data Scientist Intern,CA
112,112,CBC/Radio-Canada,85500.0,82000.0,89000.0,85500.0,85500.0,,,Data Scientist,CA
113,113,Hootsuite,84500.0,81000.0,88000.0,83500.0,83500.0,,,Data Scientist,CA
