,company,position,salary,lower_bound_salary,upper_bound_salary,url
179,Facebook,Data Scientist - Hourly Intern,$35 - CA$37hourly,CA$35,CA$37,"/Intern-Salary/Facebook-Canada-Internship-Salary-EI_IE40772.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist"
180,Trulioo,Data Scientist,$93K - CA$101K,CA$93K,CA$101K,"/Salary/Trulioo-Data-Scientist-Canada-Salaries-EJI_IE868918.0,7_KO8,22_IL.23,29_IN3.htm"
181,INVISTA,Data Scientist - Intern,$44K - CA$47K,CA$44K,CA$47K,"/Intern-Salary/INVISTA-Canada-Internship-Salary-EI_IE19024.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist"
182,Thinkific,Data Scientist - Hourly Intern,$20 - CA$21hourly,CA$20,CA$21,"/Intern-Salary/Thinkific-Canada-Internship-Salary-EI_IE1337450.0,9_IL.10,16_IN3.htm?filter.jobTitleFTS=Data+Scientist"
183,Omnicom Media Group,Data Scientist,$91K - CA$100K,CA$91K,CA$100K,"/Salary/Omnicom-Media-Group-Data-Scientist-Canada-Salaries-EJI_IE544568.0,19_KO20,34_IL.35,41_IN3.htm"
184,BNOTIONS,Data Scientist,$79K - CA$85K,CA$79K,CA$85K,"/Salary/BNOTIONS-Data-Scientist-Canada-Salaries-EJI_IE677440.0,8_KO9,23_IL.24,30_IN3.htm"
185,Upwork,Data Scientist,$96K - CA$104K,CA$96K,CA$104K,"/Salary/Upwork-Data-Scientist-Canada-Salaries-EJI_IE993959.0,6_KO7,21_IL.22,28_IN3.htm"
186,CARFAX Canada,Data Scientist - Hourly Intern,$25 - CA$27hourly,CA$25,CA$27,"/Intern-Salary/CARFAX-Canada-Canada-Internship-Salary-EI_IE600177.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Data+Scientist"
187,Eyereturn Marketing,Data Scientist,$104K - CA$112K,CA$104K,CA$112K,"/Salary/Eyereturn-Marketing-Data-Scientist-Canada-Salaries-EJI_IE499371.0,19_KO20,34_IL.35,41_IN3.htm"
188,Arvato,Data Scientist,$43K - CA$46K,CA$43K,CA$46K,"/Salary/Arvato-Data-Scientist-Canada-Salaries-EJI_IE39834.0,6_KO7,21_IL.22,28_IN3.htm"
189,Magnet Forensics,Data Scientist,$48K - CA$52K,CA$48K,CA$52K,"/Salary/Magnet-Forensics-Data-Scientist-Canada-Salaries-EJI_IE649630.0,16_KO17,31_IL.32,38_IN3.htm"
190,Experis,Data Scientist - Hourly Contractor,$23 - CA$25hourly,CA$23,CA$25,"/Contractors-Salary/Experis-Canada-Contractor-Salary-EI_IE608019.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist"
191,Verizon,Data Scientist - Contractor,$90K - CA$98K,CA$90K,CA$98K,"/Contractors-Salary/Verizon-Canada-Contractor-Salary-EI_IE89.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist"
192,First Derivatives,Data Scientist,$56K - CA$60K,CA$56K,CA$60K,"/Salary/First-Derivatives-Data-Scientist-Canada-Salaries-EJI_IE35766.0,17_KO18,32_IL.33,39_IN3.htm"
193,Statflo,Data Scientist,$69K - CA$75K,CA$69K,CA$75K,"/Salary/Statflo-Data-Scientist-Canada-Salaries-EJI_IE1382405.0,7_KO8,22_IL.23,29_IN3.htm"
194,SinaLite,Data Scientist,$58K - CA$62K,CA$58K,CA$62K,"/Salary/SinaLite-Data-Scientist-Canada-Salaries-EJI_IE1520650.0,8_KO9,23_IL.24,30_IN3.htm"
195,SinaLite,Data Scientist - Hourly,$29 - CA$31hourly,CA$29,CA$31,"/Hourly-Pay/SinaLite-Data-Scientist-Canada-Hourly-Pay-EJI_IE1520650.0,8_KO9,23_IL.24,30_IN3.htm"
196,Multi-Health Systems,Data Scientist,$75K - CA$82K,CA$75K,CA$82K,"/Salary/Multi-Health-Systems-Data-Scientist-Canada-Salaries-EJI_IE1300117.0,20_KO21,35_IL.36,42_IN3.htm"
197,district m,Data Scientist,$92K - CA$99K,CA$92K,CA$99K,"/Salary/district-m-Data-Scientist-Canada-Salaries-EJI_IE1521845.0,10_KO11,25_IL.26,32_IN3.htm"
198,Neurio Technology,Data Scientist,$57K - CA$61K,CA$57K,CA$61K,"/Salary/Neurio-Technology-Data-Scientist-Canada-Salaries-EJI_IE1098406.0,17_KO18,32_IL.33,39_IN3.htm"
199,RS Energy Group,Data Scientist,$86K - CA$94K,CA$86K,CA$94K,"/Salary/RS-Energy-Group-Data-Scientist-Canada-Salaries-EJI_IE1456708.0,15_KO16,30_IL.31,37_IN3.htm"
